&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/088_ZrY2Nb_NDload_750C_15mms_25_02_2017-215238/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	-0.001003	0.157943	0.065150
00002	-0.001230	0.155784	0.064945
00003	-0.001018	0.158204	0.064862
00004	-0.000924	0.153282	0.064589
00005	-0.001447	0.155389	0.064350
00006	-0.001362	0.155003	0.064237
00007	0.004276	0.153237	0.064443
00008	0.004545	0.153976	0.064464
00009	0.004395	0.153520	0.064520
00010	0.005024	0.154282	0.064718
00011	0.005143	0.152215	0.064934
00012	0.005226	0.153966	0.065302
00013	0.005520	0.153214	0.065544
00014	0.005970	0.154465	0.065895
00015	0.005892	0.150687	0.065914
00016	0.005548	0.153621	0.066029
00017	0.005823	0.151845	0.066003
00018	0.005882	0.150955	0.065952
00019	0.005718	0.150709	0.065979
00020	0.005557	0.149846	0.066033
00021	0.005956	0.149204	0.065951
00022	0.005793	0.149544	0.066000
00023	0.005649	0.149862	0.065923
00024	0.005426	0.149187	0.065877
00025	0.004935	0.146631	0.065753
00026	0.005275	0.147065	0.065798
00027	0.004830	0.146568	0.065788
00028	0.005173	0.146890	0.065744
00029	0.004686	0.146395	0.065779
00030	0.004597	0.146841	0.065728
00031	0.004567	0.145402	0.065732
00032	0.003822	0.144555	0.065681
00033	0.003924	0.146910	0.065713
00034	0.003839	0.143956	0.065709
00035	0.003776	0.147038	0.065622
00036	0.003870	0.141497	0.065548
00037	0.003876	0.145525	0.065250
00038	0.001767	0.143730	0.065280
00039	0.002039	0.145245	0.065299
00040	0.001890	0.145118	0.065430
00041	0.001844	0.144941	0.065278
00042	0.001332	0.145897	0.065290
00043	0.001325	0.144196	0.065116
00044	0.001196	0.146304	0.065087
00045	0.001027	0.145412	0.064908
00046	0.000889	0.144994	0.064873
00047	0.000415	0.145414	0.064680
00048	0.000128	0.144347	0.064539
00049	-0.000108	0.146145	0.064351
00050	-0.000347	0.143483	0.064188
00051	-0.000615	0.143316	0.064062
00052	-0.000870	0.142860	0.064123
00053	-0.000874	0.144810	0.064199
00054	-0.000175	0.145285	0.064412
00055	0.000543	0.144479	0.064691
00056	0.000781	0.144997	0.065008
00057	0.000983	0.144132	0.065331
00058	0.000889	0.145811	0.065390
00059	0.000728	0.144350	0.065445
00060	0.000925	0.144800	0.065543
00061	0.000650	0.147097	0.065622
00062	0.000673	0.144416	0.065643
00063	0.000460	0.147337	0.065697
00064	0.000471	0.145244	0.065633
00065	0.000583	0.144341	0.065648
00066	0.000536	0.144312	0.065560
00067	0.000426	0.146417	0.065519
00068	0.000394	0.145861	0.065472
00069	0.000638	0.145749	0.065473
00070	0.000340	0.145514	0.065397
00071	0.000147	0.144353	0.065441
00072	0.000101	0.144035	0.065462
00073	-0.000069	0.143475	0.065352
00074	-0.000174	0.143042	0.065359
00075	-0.000145	0.143670	0.065401
00076	-0.000237	0.143959	0.065400
00077	-0.000285	0.142353	0.065293
00078	-0.000501	0.142499	0.065335
00079	-0.000153	0.143030	0.065367
00080	-0.000310	0.142543	0.065310
00081	-0.000300	0.142164	0.065245
00082	-0.000140	0.144011	0.065225
00083	-0.000139	0.144972	0.065260
00084	-0.000196	0.144166	0.065268
00085	-0.000436	0.142574	0.065310
00086	-0.000609	0.141691	0.065202
00087	-0.000475	0.142068	0.065188
00088	-0.000601	0.142367	0.065076
00089	-0.001006	0.141408	0.064945
00090	-0.001162	0.141601	0.064788
00091	-0.000942	0.138673	0.064691
00092	-0.001211	0.140555	0.064532
00093	-0.001533	0.139012	0.064300
00094	-0.001661	0.138897	0.064191
00095	-0.001793	0.140343	0.064215
00096	-0.001958	0.140446	0.064306
00097	-0.001625	0.141993	0.064409
00098	-0.001312	0.140633	0.064633
00099	-0.000759	0.139999	0.064933
00100	-0.000314	0.141295	0.065327
00101	-0.000330	0.141397	0.065505
00102	-0.000328	0.142385	0.065552
00103	-0.000327	0.141632	0.065613
00104	-0.000246	0.140416	0.065682
00105	0.000034	0.140006	0.065713
00106	0.000243	0.141471	0.065726
00107	0.000161	0.142313	0.065657
00108	0.000016	0.143170	0.065591
00109	0.000071	0.143061	0.065608
00110	0.000255	0.143190	0.065579
00111	-0.000063	0.143131	0.065555
00112	-0.000280	0.143065	0.065501
00113	-0.000344	0.143970	0.065438
00114	-0.000409	0.143037	0.065446
00115	-0.000393	0.142589	0.065407
00116	-0.000272	0.141051	0.065406
00117	-0.000185	0.141102	0.065418
00118	-0.000450	0.143483	0.065367
00119	-0.000602	0.142433	0.065333
00120	-0.000354	0.141317	0.065330
00121	-0.000301	0.141165	0.065293
00122	-0.000422	0.141666	0.065290
00123	-0.000513	0.141086	0.065322
00124	-0.000307	0.140459	0.065386
00125	-0.000395	0.140321	0.065472
00126	-0.000335	0.141196	0.065473
00127	-0.000376	0.141007	0.065447
00128	-0.000229	0.140061	0.065449
00129	-0.000201	0.140321	0.065368
00130	-0.000319	0.140531	0.065226
00131	-0.000378	0.139888	0.065200
00132	-0.000297	0.138571	0.065134
00133	-0.000548	0.138238	0.065016
00134	-0.000940	0.137720	0.064826
00135	-0.001160	0.137150	0.064611
00136	-0.001314	0.136860	0.064500
00137	-0.001353	0.137250	0.064408
00138	-0.001416	0.137348	0.064282
00139	-0.001318	0.137608	0.064224
00140	-0.001151	0.138079	0.064315
00141	-0.001055	0.137396	0.064496
00142	-0.000842	0.139115	0.064805
00143	-0.000382	0.139691	0.065161
00144	0.000156	0.139324	0.065430
00145	0.000431	0.138024	0.065620
00146	0.000475	0.136589	0.065666
00147	0.000504	0.137685	0.065721
00148	0.000412	0.137087	0.065729
00149	0.000287	0.136692	0.065723
00150	0.000297	0.141408	0.065795
