&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/063_TI64_NDheat_1250C_5Cs_25_02_2017-092138/pixium_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.000419	0.157545	0.013502
00002	0.000260	0.161915	0.013479
00003	-0.000198	0.162013	0.013523
00004	-0.000298	0.163390	0.013451
00005	-0.000481	0.162535	0.013341
00006	-0.000638	0.164331	0.013138
00007	-0.000446	0.165354	0.012974
00008	-0.001040	0.166914	0.012775
00009	-0.001055	0.165832	0.012632
00010	-0.001145	0.165934	0.012451
00011	-0.001404	0.167383	0.012371
00012	-0.001381	0.168857	0.012333
00013	-0.001356	0.170829	0.012442
00014	-0.000930	0.171776	0.012639
00015	-0.000629	0.174212	0.012815
00016	-0.000525	0.173650	0.013200
00017	-0.000079	0.175370	0.013526
00018	0.000398	0.177166	0.013705
00019	0.000854	0.178201	0.013683
00020	0.000470	0.178693	0.013675
00021	0.000425	0.178780	0.013800
00022	0.000710	0.179834	0.013866
00023	0.000519	0.181331	0.013845
00024	0.000661	0.181291	0.013814
00025	0.000708	0.183147	0.013729
00026	0.000746	0.185035	0.013748
00027	0.000244	0.184016	0.013761
00028	0.000187	0.187637	0.013704
00029	0.000390	0.183831	0.013624
00030	0.000397	0.187059	0.013593
00031	0.000358	0.190491	0.013558
00032	0.000319	0.190450	0.013557
00033	0.000281	0.191747	0.013477
00034	0.000154	0.191173	0.013501
00035	-0.000377	0.194497	0.013460
00036	-0.000066	0.194886	0.013497
00037	0.000218	0.196754	0.013513
00038	0.000294	0.197153	0.013495
00039	0.000444	0.198255	0.013530
00040	0.000571	0.199114	0.013422
00041	0.000523	0.200136	0.013514
00042	0.000243	0.200763	0.013584
00043	0.000161	0.201510	0.013551
00044	0.000025	0.202668	0.013580
00045	-0.000116	0.204641	0.013495
00046	-0.000252	0.204832	0.013502
00047	-0.000359	0.203803	0.013486
00048	-0.000294	0.206678	0.013421
00049	-0.000382	0.208059	0.013286
00050	-0.000760	0.207522	0.013047
00051	-0.000586	0.208634	0.013012
00052	-0.000878	0.203682	0.012911
00053	-0.001096	0.208963	0.012698
00054	-0.001497	0.207759	0.012501
00055	-0.001679	0.209456	0.012320
00056	-0.001603	0.209818	0.012302
00057	-0.001616	0.208034	0.012395
00058	-0.001141	0.212707	0.012533
00059	-0.000703	0.210933	0.012813
00060	-0.000433	0.212183	0.013162
00061	-0.000306	0.213598	0.013416
00062	-0.000222	0.214167	0.013633
00063	-0.000369	0.214363	0.013636
00064	0.000127	0.215840	0.013722
00065	0.000246	0.215491	0.013806
00066	0.000349	0.213458	0.013834
00067	0.000317	0.215866	0.013808
00068	0.000194	0.215117	0.013868
00069	0.000363	0.215058	0.013772
00070	0.000096	0.215431	0.013721
00071	-0.000176	0.214971	0.013801
00072	-0.000366	0.213212	0.013716
00073	-0.000317	0.216335	0.013663
00074	-0.000245	0.214016	0.013607
00075	-0.000192	0.211858	0.013567
00076	-0.000285	0.211153	0.013629
00077	-0.000264	0.211294	0.013554
00078	-0.000244	0.212380	0.013490
00079	-0.000223	0.209661	0.013438
00080	-0.000228	0.213106	0.013465
00081	-0.000377	0.209599	0.013487
00082	-0.000222	0.212951	0.013403
00083	-0.000471	0.211347	0.013519
00084	-0.000516	0.210218	0.013450
00085	-0.000464	0.215470	0.013446
00086	-0.000439	0.211214	0.013458
00087	-0.000304	0.214016	0.013517
00088	-0.000535	0.210428	0.013479
00089	-0.000238	0.212852	0.013461
00090	-0.000755	0.212798	0.013507
