&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/034_2Nb_TDload_725C_15mms_23_02_2017-190019/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	-0.000146	0.162473	0.052519
00002	-0.000149	0.155127	0.052520
00003	-0.000085	0.154010	0.052441
00004	0.000228	0.152719	0.052415
00005	-0.000212	0.152384	0.052310
00006	-0.000157	0.150588	0.052282
00007	-0.000044	0.149634	0.052324
00008	0.000270	0.150260	0.052231
00009	0.000011	0.148664	0.052286
00010	-0.000507	0.150617	0.052256
00011	-0.000403	0.147820	0.052258
00012	-0.000291	0.147071	0.052250
00013	-0.000206	0.147174	0.052231
00014	-0.000268	0.147371	0.052259
00015	0.000119	0.147288	0.052214
00016	0.000179	0.146480	0.052234
00017	0.000326	0.146028	0.052210
00018	0.000674	0.145833	0.052252
00019	0.000495	0.147064	0.052222
00020	0.000318	0.145986	0.052214
00021	0.000137	0.145899	0.052221
00022	-0.000040	0.144030	0.052176
00023	-0.000214	0.144693	0.052070
00024	-0.000378	0.143682	0.051941
00025	-0.000517	0.143538	0.051893
00026	-0.000577	0.141983	0.051751
00027	-0.000694	0.141387	0.051531
00028	-0.000897	0.140080	0.051377
00029	-0.000946	0.139486	0.051108
00030	-0.001067	0.139096	0.051019
00031	-0.001082	0.137958	0.050966
00032	-0.001021	0.138678	0.051159
00033	-0.000795	0.137510	0.051292
00034	-0.000348	0.136938	0.051598
00035	-0.000199	0.137195	0.051940
00036	0.000126	0.136975	0.052226
00037	0.000355	0.138040	0.052362
00038	0.000446	0.136354	0.052449
00039	0.000634	0.135706	0.052490
00040	0.000781	0.134772	0.052581
00041	0.000888	0.135772	0.052592
00042	0.000600	0.138173	0.052551
00043	0.000484	0.139756	0.052491
00044	0.000933	0.141754	0.052463
00045	0.000934	0.143067	0.052477
00046	0.000947	0.143915	0.052446
00047	0.000748	0.146623	0.052403
00048	0.000773	0.148778	0.052408
00049	0.000766	0.150830	0.052298
00050	0.000754	0.155734	0.052271
00051	0.000576	0.157967	0.052316
00052	0.000535	0.162631	0.052282
00053	0.000577	0.165463	0.052220
00054	0.000449	0.168226	0.052232
00055	0.000206	0.172783	0.052261
00056	0.000058	0.174812	0.052223
00057	0.000482	0.178564	0.052172
00058	0.000562	0.179812	0.052186
00059	0.000492	0.181853	0.052193
00060	0.000341	0.184804	0.052217
00061	0.000498	0.186982	0.052275
00062	0.000772	0.189603	0.052292
00063	0.000719	0.192824	0.052267
00064	0.000433	0.195210	0.052227
00065	0.000152	0.198296	0.052154
00066	-0.000028	0.201036	0.052120
00067	-0.000207	0.202769	0.052041
00068	-0.000323	0.204530	0.051960
00069	-0.000357	0.204619	0.051860
00070	-0.000426	0.204605	0.051665
00071	-0.000647	0.204767	0.051513
00072	-0.000806	0.205822	0.051340
00073	-0.000900	0.206932	0.051129
00074	-0.001084	0.206403	0.051078
00075	-0.001087	0.206499	0.051136
00076	-0.000939	0.207758	0.051202
00077	-0.000882	0.208811	0.051375
00078	-0.000565	0.209349	0.051653
00079	-0.000022	0.210190	0.051937
00080	0.000286	0.209982	0.052243
00081	0.000598	0.210773	0.052371
00082	0.000699	0.211058	0.052395
00083	0.000491	0.210858	0.052446
00084	0.000397	0.210876	0.052466
00085	0.000585	0.211929	0.052526
00086	0.000505	0.212264	0.052595
00087	0.000115	0.212031	0.052605
00088	-0.000249	0.213300	0.052531
00089	-0.000105	0.214114	0.052479
00090	-0.000026	0.214159	0.052496
00091	-0.000203	0.214317	0.052439
00092	-0.000236	0.216382	0.052374
00093	-0.000351	0.216760	0.052356
00094	-0.000344	0.216144	0.052356
00095	-0.000397	0.216658	0.052314
00096	-0.000346	0.217024	0.052284
00097	-0.000492	0.218473	0.052245
00098	-0.000729	0.220504	0.052229
00099	-0.000772	0.221445	0.052177
00100	-0.000750	0.221566	0.052163
00101	-0.000634	0.223096	0.052216
00102	-0.000571	0.223844	0.052237
00103	-0.000540	0.224151	0.052222
00104	-0.000574	0.223047	0.052230
00105	-0.000547	0.222649	0.052239
00106	-0.000554	0.222141	0.052235
00107	-0.000632	0.220409	0.052235
00108	-0.000668	0.219830	0.052238
00109	-0.000919	0.216994	0.052159
00110	-0.001008	0.214399	0.052121
00111	-0.001114	0.211779	0.052107
